patch_id,lon,lat,label_confidence,has_coverage,ntl,builtup,elevation,total_tests,n_subtiles,mean_tests,coverage_fraction,log_mean_tests,split
patch_012958,77.96000000000038,8.05999999999999,confirmed_negative,0,0.139829669936564,,,0.0,0.0,0.0,0.0,0.0,train
patch_034869,93.74000000000098,10.699999999999973,confirmed_negative,0,0.062765303422148,,,0.0,0.0,0.0,0.0,0.0,val
patch_070134,84.20000000000061,15.019999999999945,confirmed_negative,0,0.1277595359926935,,,0.0,0.0,0.0,0.0,0.0,train
patch_040211,89.54000000000082,11.35999999999997,confirmed_negative,0,0.1027600511293789,,,0.0,0.0,0.0,0.0,0.0,train
patch_030742,82.28000000000054,10.219999999999976,confirmed_negative,0,0.1334975630877202,,,0.0,0.0,0.0,0.0,0.0,val
patch_101882,70.2800000000001,18.91999999999992,confirmed_negative,0,0.1343811945321103,,,0.0,0.0,0.0,0.0,0.0,train
patch_046799,71.54000000000013,12.199999999999966,confirmed_negative,0,0.1180951411462758,,,0.0,0.0,0.0,0.0,0.0,train
patch_031100,74.24000000000024,10.279999999999976,confirmed_negative,0,0.127243715838947,,,0.0,0.0,0.0,0.0,0.0,train
patch_078071,88.10000000000076,15.979999999999938,confirmed_negative,0,0.10595320120032,,,0.0,0.0,0.0,0.0,0.0,train
patch_025382,85.40000000000066,9.559999999999985,confirmed_negative,0,0.1051426871055451,,,0.0,0.0,0.0,0.0,0.0,train
patch_021958,86.6000000000007,9.13999999999998,confirmed_negative,0,0.1125429208798539,,,0.0,0.0,0.0,0.0,0.0,train
patch_080145,94.460000000001,16.21999999999993,confirmed_negative,0,0.0786431309740944,,,0.0,0.0,0.0,0.0,0.0,val
patch_101363,68.66000000000003,18.859999999999925,confirmed_negative,0,0.136567690978836,,,0.0,0.0,0.0,0.0,0.0,train
patch_060768,83.12000000000059,13.879999999999953,confirmed_negative,0,0.1179807664399807,,,0.0,0.0,0.0,0.0,0.0,train
patch_075765,97.34000000000113,15.679999999999945,confirmed_negative,0,0.0526258049192164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train
patch_048302,73.1600000000002,12.379999999999962,confirmed_negative,0,0.1181387666561161,,,0.0,0.0,0.0,0.0,0.0,train
patch_090926,91.8800000000009,17.539999999999928,confirmed_negative,0,0.1007087375205088,,,0.0,0.0,0.0,0.0,0.0,val
patch_010929,74.30000000000024,7.819999999999992,confirmed_negative,0,0.1346541252446646,,,0.0,0.0,0.0,0.0,0.0,train
patch_088599,70.34000000000009,17.29999999999993,confirmed_negative,0,0.144611115584582,,,0.0,0.0,0.0,0.0,0.0,train
patch_032835,89.78000000000083,10.459999999999972,confirmed_negative,0,0.0804476532267157,,,0.0,0.0,0.0,0.0,0.0,val
patch_111083,90.98000000000089,19.999999999999915,confirmed_negative,0,0.1401326931948392,,,0.0,0.0,0.0,0.0,0.0,train
