system:index,builtup,elevation,ntl,patch_id,.geo,lon,lat,ookla_tests,avg_d_kbps,avg_u_kbps,avg_lat_ms,label_confidence,ntl_quartile,stratum
2958,,,0.139829669936564,patch_012958,"{""type"":""Point"",""coordinates"":[77.96000000000038,8.05999999999999]}",77.96000000000038,8.05999999999999,0.0,,,,confirmed_negative,Q1,confirmed_negative_Q1
4869,,,0.062765303422148,patch_034869,"{""type"":""Point"",""coordinates"":[93.74000000000098,10.699999999999973]}",93.74000000000098,10.699999999999973,0.0,,,,confirmed_negative,Q1,confirmed_negative_Q1
134,,,0.1277595359926935,patch_070134,"{""type"":""Point"",""coordinates"":[84.20000000000061,15.019999999999943]}",84.20000000000061,15.019999999999943,0.0,,,,confirmed_negative,Q1,confirmed_negative_Q1
211,,,0.1027600511293789,patch_040211,"{""type"":""Point"",""coordinates"":[89.54000000000082,11.35999999999997]}",89.54000000000082,11.35999999999997,0.0,,,,confirmed_negative,Q1,confirmed_negative_Q1
742,,,0.1334975630877202,patch_030742,"{""type"":""Point"",""coordinates"":[82.28000000000054,10.219999999999976]}",82.28000000000054,10.219999999999976,0.0,,,,confirmed_negative,Q1,confirmed_negative_Q1
1882,,,0.1343811945321103,patch_101882,"{""type"":""Point"",""coordinates"":[70.2800000000001,18.91999999999992]}",70.2800000000001,18.91999999999992,0.0,,,,confirmed_negative,Q1,confirmed_negative_Q1
1799,,,0.1180951411462758,patch_046799,"{""type"":""Point"",""coordinates"":[71.54000000000013,12.199999999999966]}",71.54000000000013,12.199999999999966,0.0,,,,confirmed_negative,Q1,confirmed_negative_Q1
1100,,,0.127243715838947,patch_031100,"{""type"":""Point"",""coordinates"":[74.24000000000024,10.279999999999976]}",74.24000000000024,10.279999999999976,0.0,,,,confirmed_negative,Q1,confirmed_negative_Q1
3071,,,0.10595320120032,patch_078071,"{""type"":""Point"",""coordinates"":[88.10000000000076,15.979999999999938]}",88.10000000000076,15.979999999999938,0.0,,,,confirmed_negative,Q1,confirmed_negative_Q1
382,,,0.1051426871055451,patch_025382,"{""type"":""Point"",""coordinates"":[85.40000000000066,9.559999999999983]}",85.40000000000066,9.559999999999983,0.0,,,,confirmed_negative,Q1,confirmed_negative_Q1
1958,,,0.1125429208798539,patch_021958,"{""type"":""Point"",""coordinates"":[86.6000000000007,9.139999999999981]}",86.6000000000007,9.139999999999981,0.0,,,,confirmed_negative,Q1,confirmed_negative_Q1
145,,,0.0786431309740944,patch_080145,"{""type"":""Point"",""coordinates"":[94.460000000001,16.21999999999993]}",94.460000000001,16.21999999999993,0.0,,,,confirmed_negative,Q1,confirmed_negative_Q1
1363,,,0.136567690978836,patch_101363,"{""type"":""Point"",""coordinates"":[68.66000000000003,18.859999999999925]}",68.66000000000003,18.859999999999925,0.0,,,,confirmed_negative,Q1,confirmed_negative_Q1
768,,,0.1179807664399807,patch_060768,"{""type"":""Point"",""coordinates"":[83.12000000000059,13.879999999999953]}",83.12000000000059,13.879999999999953,0.0,,,,confirmed_negative,Q1,confirmed_negative_Q1
765,0.0,0.0,0.0526258049192164,patch_075765,"{""type"":""Point"",""coordinates"":[97.34000000000111,15.679999999999945]}",97.34000000000111,15.679999999999945,0.0,,,,confirmed_negative,Q1,confirmed_negative_Q1
3302,,,0.1181387666561161,patch_048302,"{""type"":""Point"",""coordinates"":[73.1600000000002,12.379999999999962]}",73.1600000000002,12.379999999999962,0.0,,,,confirmed_negative,Q1,confirmed_negative_Q1
926,,,0.1007087375205088,patch_090926,"{""type"":""Point"",""coordinates"":[91.8800000000009,17.539999999999928]}",91.8800000000009,17.539999999999928,0.0,,,,confirmed_negative,Q1,confirmed_negative_Q1
929,,,0.1346541252446646,patch_010929,"{""type"":""Point"",""coordinates"":[74.30000000000024,7.819999999999992]}",74.30000000000024,7.819999999999992,0.0,,,,confirmed_negative,Q1,confirmed_negative_Q1
3599,,,0.144611115584582,patch_088599,"{""type"":""Point"",""coordinates"":[70.34000000000009,17.29999999999993]}",70.34000000000009,17.29999999999993,0.0,,,,confirmed_negative,Q1,confirmed_negative_Q1
2835,,,0.0804476532267157,patch_032835,"{""type"":""Point"",""coordinates"":[89.78000000000083,10.459999999999972]}",89.78000000000083,10.459999999999972,0.0,,,,confirmed_negative,Q1,confirmed_negative_Q1
1083,,,0.1401326931948392,patch_111083,"{""type"":""Point"",""coordinates"":[90.98000000000087,19.999999999999915]}",90.98000000000087,19.999999999999915,0.0,,,,confirmed_negative,Q1,confirmed_negative_Q1
373,,,0.1319894004467718,patch_015373,"{""type"":""Point"",""coordinates"":[75.26000000000028,8.359999999999987]}",75.26000000000028,8.359999999999987,0.0,,,,confirmed_negative,Q1,confirmed_negative_Q1
3354,,,0.0881773235825539,patch_033354,"{""type"":""Point"",""coordinates"":[91.40000000000089,10.519999999999973]}",91.40000000000089,10.519999999999973,0.0,,,,confirmed_negative,Q1,confirmed_negative_Q1
4667,,,0.1257689237082746,patch_009667,"{""type"":""Point"",""coordinates"":[87.14000000000073,7.639999999999991]}",87.14000000000073,7.639999999999991,0.0,,,,confirmed_negative,Q1,confirmed_negative_Q1
