subsample,reg_lambda,n_estimators,max_depth,learning_rate,colsample_bytree,cv_rmse_mean,cv_rmse_std,cv_mae_mean,cv_spearman_mean,cv_pr_auc_mean,cv_roc_auc_mean,cv_best_iteration_mean
1.0,1.0,300,4,0.1,0.8,0.028607321530580522,0.0034003087752946504,0.011345865204930305,0.8126250770572941,0.9754403971251374,0.9860082137946986,103.2
0.8,1.0,1200,6,0.05,0.8,0.028874196857213975,0.0028884152472436883,0.011214750818908215,0.8136740711033934,0.9762993546966708,0.9874634097519369,168.4
0.6,1.0,600,6,0.03,1.0,0.02887602671980858,0.002646560824899585,0.011091459728777408,0.8185328603659661,0.9783886181112822,0.9889352566552866,274.0
1.0,3.0,1200,3,0.05,0.4,0.0291099488735199,0.004222578010962443,0.012096737325191498,0.8013982350765712,0.9654432105194996,0.9792172393197671,349.8
1.0,1.0,1200,3,0.1,0.8,0.0291508287191391,0.0035180792406783444,0.011711682192981243,0.8092539169703972,0.9735742014674253,0.9844376781933765,128.4
0.8,3.0,1200,4,0.1,0.8,0.029232919588685034,0.0033991713068354536,0.011407380923628807,0.8122078596287711,0.9743450582128517,0.9855707401726328,157.0
1.0,3.0,600,4,0.05,1.0,0.02962246388196945,0.003338004763391124,0.011487661488354206,0.8127048240846347,0.9753209983792989,0.9858990137459036,231.8
0.6,3.0,300,6,0.1,1.0,0.029789355024695395,0.0030273708198922207,0.011513120122253894,0.8123959790688561,0.9748487867256965,0.986200895244224,116.8
0.6,10.0,1200,4,0.03,0.8,0.029940042272210123,0.0034845654172653024,0.011513692885637283,0.8134946778152978,0.976800147545773,0.9878523456428155,647.6
1.0,10.0,600,3,0.1,0.8,0.03011695109307766,0.003482343918882015,0.011914945766329765,0.8078391517663137,0.9725969392393374,0.9834413223600531,243.6
0.6,30.0,600,3,0.1,0.8,0.030226920545101166,0.003314549239589684,0.012060625851154328,0.8035879274672812,0.9708181899864673,0.9811777662236315,410.0
0.8,3.0,1200,3,0.03,0.2,0.030264076590538026,0.004583523704161599,0.013023238070309162,0.7930193587355454,0.9535564923137692,0.9747227142153785,969.2
0.6,10.0,600,6,0.03,0.8,0.030367235094308852,0.0034583642878136317,0.01144702322781086,0.8129542009510295,0.9749754878678587,0.9861835764486058,576.8
1.0,10.0,300,3,0.03,0.8,0.030510615557432175,0.0038575391691459474,0.01227472461760044,0.81158145958073,0.9746834682245782,0.9855543817785449,283.8
0.6,3.0,1200,2,0.05,1.0,0.030556286871433257,0.0035019479887814257,0.012401021085679531,0.7987177327103409,0.9683597328216942,0.9798737542459431,324.2
0.6,3.0,1200,2,0.05,0.8,0.030562371388077735,0.003445921158356201,0.012356041744351388,0.8049609332803511,0.9705185617511635,0.9823463588322342,368.8
0.6,10.0,1200,4,0.01,1.0,0.030565155670046806,0.003374745814612387,0.011547575518488885,0.8155603489598608,0.9775659460605602,0.9879258537328889,1182.6
0.6,1.0,300,2,0.05,1.0,0.030648528411984444,0.0036368260389093438,0.012439909391105175,0.800685015832053,0.9693911919387306,0.980978722015364,223.8
1.0,3.0,600,2,0.1,1.0,0.03069957159459591,0.0036346024638084984,0.01250572819262743,0.7997624703111111,0.9676663878764373,0.9801404250911645,241.4
1.0,10.0,300,3,0.03,1.0,0.030836140736937523,0.0037633048450948915,0.012282769754528999,0.806023457515247,0.973801275113966,0.9844840329214479,286.4
0.6,10.0,300,6,0.1,1.0,0.03089880906045437,0.0034175692286502286,0.011660288460552693,0.807937797401391,0.9742402067721632,0.9843641242631073,223.8
0.8,1.0,300,2,0.1,0.2,0.031010929867625235,0.004563938598905843,0.013592726737260818,0.7788529069877977,0.9456427269047808,0.9662370866044597,271.6
0.8,30.0,600,6,0.1,0.8,0.031106467917561532,0.003915191512817209,0.01187000460922718,0.8073783598914315,0.9723265171308896,0.9835099808678803,314.0
0.6,3.0,300,2,0.05,0.4,0.031119104847311972,0.004602101553117131,0.013009010814130306,0.7994426210230149,0.9602205458375265,0.9778020453665912,295.4
0.6,1.0,300,2,0.1,0.2,0.03137425631284714,0.004421106751570923,0.013896830379962921,0.7738109083391354,0.9413745527480746,0.9628356931544548,258.2
0.6,30.0,600,6,0.05,1.0,0.03142946772277355,0.0030249384969822596,0.011679865419864655,0.8121902318942066,0.9764346783335673,0.9869533880418603,557.4
0.6,3.0,300,2,0.1,0.2,0.03157635368406773,0.004868217156066716,0.01389559805393219,0.7733697287216285,0.9408552384135745,0.9615385257594278,269.2
0.8,30.0,1200,3,0.01,0.8,0.03171188607811928,0.0036988894261241845,0.012243272364139557,0.8146255342495922,0.9763405558288465,0.987128318532271,1197.8
0.8,10.0,1200,4,0.03,0.2,0.03173501081764698,0.004638347587208677,0.01333518885076046,0.7832878735267108,0.9461843156804859,0.9687550292985178,1118.0
0.8,3.0,600,6,0.01,0.4,0.03175039328634739,0.004631095393031219,0.012419727817177772,0.8073578366402627,0.9616651431608441,0.9805799981112717,599.0
0.8,3.0,300,4,0.1,0.2,0.031760982051491735,0.004755228096347438,0.013827533088624477,0.7739000274304557,0.9369896281832496,0.9647775110742547,272.2
0.8,10.0,300,2,0.05,1.0,0.03177399300038815,0.004126369553656166,0.012907262332737446,0.7946293277600447,0.9658617346647679,0.9780913351640887,294.8
1.0,10.0,1200,6,0.05,0.4,0.03208795860409737,0.004618594765232344,0.01260919515043497,0.7968852683339052,0.9589541466762356,0.9775736535474291,628.0
0.6,10.0,300,4,0.03,0.4,0.03234743736684322,0.004166443604778796,0.012796506099402905,0.8066568287443454,0.9623155997334752,0.9812892985172226,298.4
