Model,Target,RMSE,Spearman,PR-AUC,ROC-AUC,F1
Base Linear (NB04),coverage_fraction,0.0360240770135612,0.2370277094318981,0.1440992514717717,0.7154412698412698,0.2535211267605634
Base MLP (NB05),coverage_fraction,0.0357601557323266,0.2493330142530997,0.19015784754241,0.7270857142857142,0.282312925170068
TL Linear (NB09),coverage_fraction,0.026810790477707697,0.35591260535139063,0.3148867286133932,0.8287492063492063,0.21138211382113822
TL MLP (NB09),coverage_fraction,0.034970744784328926,0.3040105962652228,0.22798573777952882,0.7928825396825396,0.0
TL XGBoost (NB09),coverage_fraction,0.04709826513969019,0.26279626224315056,0.1443123318675841,0.717968253968254,0.2857142857142857
Base Linear (NB04),log_mean_tests,0.6108381345287631,0.2317483478711369,0.1885978857871928,0.714984126984127,0.1954545454545454
Base MLP (NB05),log_mean_tests,0.609364903564796,-0.2113104553704598,0.0627040513829711,0.3031174603174603,0.145933014354067
TL Linear (NB09),log_mean_tests,0.49954615390589896,0.3492846970055611,0.30725148502280836,0.8241269841269842,0.20689655172413793
TL MLP (NB09),log_mean_tests,0.6108967905125737,0.2809946331921393,0.1773089645687509,0.7567619047619049,0.16568047337278108
TL XGBoost (NB09),log_mean_tests,0.48928092349184155,0.34177519305787385,0.2705454750925222,0.8067682539682539,0.16071428571428573
