subsample,reg_lambda,n_estimators,max_depth,learning_rate,colsample_bytree,cv_rmse_mean,cv_rmse_std,cv_mae_mean,cv_spearman_mean,cv_pr_auc_mean,cv_roc_auc_mean,cv_best_iteration_mean
0.8,30.0,300,6,0.05,0.2,0.0787753313779831,0.009660589741785595,0.03287183716893196,0.5756013206457613,0.6006852940006361,0.8405343950344808,60.0
1.0,3.0,600,2,0.1,1.0,0.0788548693060875,0.009950742073402359,0.03475872278213501,0.5521149041887623,0.583276533680858,0.8286769791729288,55.2
1.0,3.0,1200,2,0.01,0.2,0.07887501567602158,0.009717277734740556,0.03438364714384079,0.5565738598176334,0.587111632862169,0.8319466459191538,288.0
0.8,30.0,1200,3,0.01,0.8,0.07888711243867874,0.009686222007577983,0.033699937909841535,0.5662032649460224,0.5971464249503403,0.8370625326809297,224.2
0.8,1.0,300,2,0.1,0.2,0.0788902461528778,0.009552943908840369,0.03463960662484169,0.5498203604693322,0.5750837137339639,0.8248201977113702,35.4
0.6,10.0,300,4,0.03,0.4,0.07889152020215988,0.00960184900996462,0.03349288254976272,0.560886554050642,0.5852061744694671,0.8318996330628016,78.4
1.0,30.0,1200,2,0.01,0.8,0.07889297157526017,0.009748423122361823,0.034191130101680754,0.5652345813391738,0.6046265916855573,0.8371916870799827,241.0
1.0,10.0,300,2,0.1,0.2,0.07891405820846557,0.009655049005070887,0.03437471315264702,0.5657499916165126,0.600301598197295,0.8368982834491611,27.4
0.8,3.0,1200,3,0.03,0.2,0.0789150431752205,0.009626883865885824,0.03425194621086121,0.5584193493321872,0.590046715882187,0.8317081567849174,88.0
0.6,30.0,600,4,0.01,0.8,0.0789309099316597,0.00962887009736062,0.03304186537861824,0.5649969606679405,0.5907684867722877,0.8354399969257443,250.2
0.8,30.0,300,3,0.03,0.8,0.07893319576978683,0.009652425051013725,0.03353485241532326,0.5664658714006248,0.596273886932775,0.8366270294136318,90.8
0.8,10.0,300,2,0.05,1.0,0.07895018756389618,0.009612867602698694,0.034237629175186156,0.5528237412460826,0.5830127838903454,0.8279183668823364,61.0
0.8,10.0,300,2,0.01,0.8,0.07895997613668441,0.009700098191261691,0.03435839787125587,0.5561668402644624,0.5876514059703062,0.8316726453907046,232.4
0.6,30.0,600,3,0.1,0.8,0.07898022383451461,0.009525302339766504,0.033620785176754,0.5647977802048052,0.5979913573917373,0.8350550938065627,24.0
0.6,3.0,300,2,0.05,0.4,0.07898839116096497,0.009647522437315564,0.03467504233121872,0.5498018556156496,0.5768311370256233,0.825421496067445,55.8
0.6,10.0,1200,4,0.01,1.0,0.07900224030017852,0.009650051410119258,0.033698008954524995,0.55997520742416,0.5883680914522517,0.8329152108929373,212.8
0.8,10.0,1200,4,0.03,0.2,0.07900411784648895,0.009642743264469284,0.03391091376543045,0.5604354037727959,0.590509177748199,0.8340711004806678,73.6
1.0,10.0,300,3,0.01,0.2,0.07900745570659637,0.009644181315016718,0.03397865071892738,0.5599145178526934,0.5871011860725288,0.8333217499701787,246.4
0.6,3.0,300,2,0.1,0.2,0.0790275365114212,0.00958020396829732,0.03465041518211365,0.554879973388243,0.5816033734407495,0.828759218638338,28.8
0.6,3.0,1200,2,0.05,0.8,0.07902758419513703,0.009754285552022702,0.03483985960483551,0.5525520615563723,0.5791871798088104,0.8273565981849164,45.6
1.0,3.0,1200,3,0.05,0.4,0.07903503775596618,0.009803344458306591,0.03439494967460632,0.5578526071500541,0.5829034834916701,0.8323018941532585,40.2
1.0,10.0,300,3,0.03,0.8,0.07903628796339035,0.009701333927233295,0.0340855710208416,0.5619168798643454,0.597860716947366,0.8336223892348407,86.2
0.6,10.0,1200,4,0.03,0.8,0.07904468923807144,0.009644057612023887,0.03401308804750443,0.5644356895732445,0.5954762208114796,0.8350734762307456,62.8
1.0,30.0,1200,6,0.1,0.4,0.07907394915819169,0.00945001276420401,0.03338836804032326,0.5713192683299934,0.5908512202007231,0.8364575801070622,26.8
0.6,1.0,300,2,0.1,0.2,0.07907636314630509,0.00949548240712267,0.034507451206445695,0.5469140264441694,0.5704672910048828,0.8245488847846778,35.0
0.6,3.0,1200,2,0.05,1.0,0.07909453511238099,0.009689829977765766,0.03483707755804062,0.5534107510266796,0.5813632194951279,0.8281062882228213,47.0
0.8,3.0,600,6,0.01,0.4,0.07911731451749801,0.009702003936664375,0.034042298793792725,0.5624321129312024,0.5844296028989092,0.8345094921075817,205.0
1.0,10.0,300,3,0.03,1.0,0.07912173420190811,0.009762407255685182,0.034219563007354736,0.5596939288379749,0.5930394921099122,0.8321155822407864,79.4
0.6,10.0,600,6,0.03,0.8,0.07916486263275146,0.009920777964374383,0.03349756896495819,0.5614254334092422,0.587389353127705,0.8332372817802873,61.2
1.0,1.0,600,6,0.05,0.2,0.07917800843715668,0.009803643930962731,0.03503062129020691,0.5596549397772146,0.5871515126223741,0.8323969796894701,29.0
1.0,1.0,300,6,0.03,0.2,0.07917831093072891,0.009796100641322369,0.034837833046913146,0.5565811266312235,0.5835093333317986,0.830291717698149,55.8
1.0,10.0,1200,6,0.05,0.4,0.07917964160442352,0.009599316448900466,0.033526357263326645,0.5683524481401571,0.5956091487487705,0.8370921031544125,40.6
1.0,30.0,300,6,0.01,0.8,0.07919290214776993,0.009603055227039584,0.03332897648215294,0.5730013411369281,0.6009358408620363,0.840087310724987,191.6
1.0,10.0,600,3,0.1,0.8,0.07920182645320892,0.00974038312973961,0.034346432983875276,0.560910977502916,0.5846001261078387,0.8315514713396853,18.6
0.6,1.0,300,2,0.05,1.0,0.07923720329999924,0.009706636590935628,0.035437612980604175,0.5442836748927375,0.5651995487973013,0.8211477791360634,44.0
1.0,1.0,1200,3,0.1,0.8,0.07925766110420226,0.009825470499219164,0.03477531373500824,0.5559410321713544,0.574762937558559,0.8278745429118104,23.6
0.8,30.0,600,6,0.1,0.8,0.07927737534046173,0.009499616587197725,0.03308799080550671,0.5682990194446759,0.5949137795296903,0.8355417068898141,20.6
0.6,30.0,600,6,0.05,1.0,0.07930615991353988,0.00980497832965897,0.032804886251688,0.5594501061886559,0.5851932891490463,0.8311950882048791,50.2
0.6,10.0,300,6,0.05,0.2,0.07935676127672195,0.009583046551234433,0.033767732232809065,0.5590851808640789,0.5908838482601667,0.8321827908119179,32.8
0.8,1.0,1200,6,0.05,0.8,0.07938224375247956,0.009814684159054489,0.03496004939079285,0.553653585901807,0.5700366988863885,0.826836142855903,35.8
1.0,1.0,300,4,0.1,0.8,0.07938331067562103,0.00984766126134085,0.03485504910349846,0.5548561316271046,0.5766143314775932,0.8290889369021288,17.6
0.8,3.0,300,4,0.1,0.2,0.07939076870679855,0.00955796371237204,0.03476045578718186,0.5613790293128613,0.5941809541718879,0.8330511429890756,17.4
0.8,3.0,1200,4,0.1,0.8,0.07944984138011932,0.009648230727505338,0.034638573229312894,0.5555809079504553,0.5775365554855035,0.8293790870698656,16.4
1.0,10.0,300,6,0.1,0.2,0.07945791929960251,0.010100143100005583,0.03407241180539131,0.5570497229465753,0.5853904288743824,0.8320694692716473,18.4
1.0,3.0,600,4,0.05,1.0,0.07947354763746262,0.009650565120010874,0.034685118496418,0.5598678776684103,0.5896926023716567,0.8322327661139962,40.8
0.6,1.0,600,6,0.03,1.0,0.07950764298439025,0.009801839289501868,0.03508768752217293,0.5413530313719901,0.5605391670793168,0.8215959661587606,58.0
0.6,10.0,300,6,0.1,1.0,0.07968114465475082,0.009888524483486927,0.03397197425365448,0.5560486872275341,0.580603493418965,0.8292714424122124,16.2
0.6,3.0,300,6,0.1,1.0,0.07988840490579605,0.009849851029991948,0.03530212789773941,0.551204644141684,0.575240308545425,0.8248331666438083,12.8
